state_id,action_id,mode,performed,depth,branch_ordinal,baseline_branch_literal,branch_is_implied_variable,intervention_event,baseline_remaining_ops,high_remaining_ops,counterfactual_remaining_ops,high_effect_percent,counterfactual_effect_percent,attenuation_fraction,signed_high_shift_reproduced,substantial_attenuation,partial_same_direction_cost_reproduction,baseline_conflicts,high_conflicts,counterfactual_conflicts,baseline_next8,high_next8,counterfactual_next8,next8_equal_baseline,next8_equal_high,baseline_first_learned,high_first_learned,counterfactual_first_learned,first_learned_equal_high,high_first_changed_learned_ordinal,counterfactual_reproduces_first_high_changed_learned,first_divergence_from_baseline,proof,proof_sha256,route_evidence
T10_S3_B488045,5633,suppress,True,1,8,27,True,"{""index"":2004,""type"":""suppression"",""literal"":27,""clause"":[],""injection"":false,""decisions"":8,""decision_ordinal"":8,""dequeues"":904,""conflicts"":6,""level"":9,""activity"":147534834416.75262,""activity_rank"":7,""heap_rank"":1,""heap_member"":true,""top_candidate"":27,""value"":2}",238473,186461,190772,-21.810435562935847,-20.00268374197498,0.08288471891102056,0.9171152810889794,False,True,9783,8306,8348,"[188,-27,-378,-91,-495,9,-586,27]","[188,-27,-378,-91,-495,9,-586,-204]","[188,-27,-378,-91,-495,9,-586,473]",False,False,"[-188,17,47,217,221,229,250,298,304,325,426]","[-188,17,47,217,221,229,250,298,304,325,426]","[-188,17,47,217,221,229,250,298,304,325,426]",True,7,False,"{""type"":""BRANCH_FIRST"",""aligned_index"":2002,""baseline_event_index"":2004,""treatment_event_index"":2005,""decision_count_offset"":0,""propagation_count_offset"":0,""conflict_count_offset"":0,""baseline"":{""index"":2004,""type"":""decision"",""literal"":27,""clause"":[],""injection"":false,""decisions"":8,""decision_ordinal"":8,""dequeues"":904,""conflicts"":6,""level"":9,""activity"":147534834416.75262,""activity_rank"":7,""heap_rank"":0,""heap_member"":false,""top_candidate"":473,""value"":2},""treatment"":{""index"":2005,""type"":""decision"",""literal"":473,""clause"":[],""injection"":false,""decisions"":8,""decision_ordinal"":8,""dequeues"":904,""conflicts"":6,""level"":9,""activity"":147534834416.75262,""activity_rank"":7,""heap_rank"":1,""heap_member"":true,""top_candidate"":27,""value"":2}}",VERIFIED,91c8785cbe727015ca3cd9d996b4193879ec26f16eccc2cbfe9f28460f5a133f,results/branch_displacement_mechanism_v1/runs/SUPPRESS_BRANCH1
HIST_T10_FIXED,831,suppress,True,1,1,176,False,"{""index"":150,""type"":""suppression"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":339,""heap_member"":true,""top_candidate"":544,""value"":2}",360959,266384,229920,-26.201036682836552,-36.30301502386698,-0.38555643669045736,1.3855564366904574,False,True,9783,7057,6142,"[176,284,555,-555,124,-568,-284,-211]","[-466,85,-19,-139,331,219,-568,250]","[545,141,-375,284,-284,-373,-126,-375]",False,False,"[-568,97,126,140,149,212,217,242,374,384,490,554]","[-568,18,21,46,87,97,126,140,149,212,217,242,374,384,385,490,554]","[-568,97,126,140,149,212,217,242,374,384,490,554]",False,1,False,"{""type"":""BRANCH_FIRST"",""aligned_index"":148,""baseline_event_index"":150,""treatment_event_index"":151,""decision_count_offset"":0,""propagation_count_offset"":0,""conflict_count_offset"":0,""baseline"":{""index"":150,""type"":""decision"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":339,""heap_member"":true,""top_candidate"":545,""value"":2},""treatment"":{""index"":151,""type"":""decision"",""literal"":545,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":339,""heap_member"":true,""top_candidate"":544,""value"":2}}",VERIFIED,78f2851d6eb7f4fff696838eee066c2a2d39ae8fed2700d66b17f876a406569f,results/branch_displacement_mechanism_v1/historical_runs/HIST_T10_FIXED_R1_suppress/BASELINE
HIST_T10_FIXED,833,suppress,True,1,1,176,False,"{""index"":150,""type"":""suppression"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":528,""heap_member"":true,""top_candidate"":544,""value"":2}",360959,191606,229920,-46.91751694790821,-36.30301502386698,0.2262375039119472,0.7737624960880528,False,True,9783,5052,6142,"[176,284,555,-555,124,-568,-284,-211]","[-289,-291,-373,195,48,-290,-568,-195]","[545,141,-375,284,-284,-373,-126,-375]",False,False,"[-568,97,126,140,149,212,217,242,374,384,490,554]","[-568,40,46,87,97,126,140,149,212,217,223,242,374,384,490,537,554]","[-568,97,126,140,149,212,217,242,374,384,490,554]",False,1,False,"{""type"":""BRANCH_FIRST"",""aligned_index"":148,""baseline_event_index"":150,""treatment_event_index"":151,""decision_count_offset"":0,""propagation_count_offset"":0,""conflict_count_offset"":0,""baseline"":{""index"":150,""type"":""decision"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":528,""heap_member"":true,""top_candidate"":545,""value"":2},""treatment"":{""index"":151,""type"":""decision"",""literal"":545,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":528,""heap_member"":true,""top_candidate"":544,""value"":2}}",VERIFIED,78f2851d6eb7f4fff696838eee066c2a2d39ae8fed2700d66b17f876a406569f,results/branch_displacement_mechanism_v1/historical_runs/HIST_T10_FIXED_R2_suppress/BASELINE
HIST_T10_FIXED,1273,suppress,True,1,1,176,False,"{""index"":150,""type"":""suppression"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":182,""heap_member"":true,""top_candidate"":544,""value"":2}",360959,241568,229920,-33.07605572932106,-36.30301502386698,-0.09756179276494881,1.0975617927649488,False,True,9783,6339,6142,"[176,284,555,-555,124,-568,-284,-211]","[-468,85,-19,-139,-491,-568,189,250]","[545,141,-375,284,-284,-373,-126,-375]",False,False,"[-568,97,126,140,149,212,217,242,374,384,490,554]","[-568,18,21,46,87,97,126,140,149,212,217,242,374,384,385,490,554]","[-568,97,126,140,149,212,217,242,374,384,490,554]",False,1,False,"{""type"":""BRANCH_FIRST"",""aligned_index"":148,""baseline_event_index"":150,""treatment_event_index"":151,""decision_count_offset"":0,""propagation_count_offset"":0,""conflict_count_offset"":0,""baseline"":{""index"":150,""type"":""decision"",""literal"":176,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":182,""heap_member"":true,""top_candidate"":545,""value"":2},""treatment"":{""index"":151,""type"":""decision"",""literal"":545,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":64,""conflicts"":1,""level"":16,""activity"":0,""activity_rank"":329.5,""heap_rank"":182,""heap_member"":true,""top_candidate"":544,""value"":2}}",VERIFIED,78f2851d6eb7f4fff696838eee066c2a2d39ae8fed2700d66b17f876a406569f,results/branch_displacement_mechanism_v1/historical_runs/HIST_T10_FIXED_R5_suppress/BASELINE
HIST_T8_S5,1736,suppress,True,1,1,-441,False,"{""index"":525,""type"":""suppression"",""literal"":-441,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":234,""conflicts"":2,""level"":18,""activity"":0,""activity_rank"":337,""heap_rank"":356,""heap_member"":true,""top_candidate"":441,""value"":2}",219571,277245,236319,26.26667456084819,7.627601094862246,0.7096091826472934,0.2903908173527066,True,False,6087,7639,6346,"[-441,-447,-405,-400,361,538,141,-400]","[100,-440,-121,512,532,479,145,-479]","[-447,-441,-405,-400,361,538,257,-284]",False,False,"[-441,232,400,405,447]","[-562,101,121,212,238,268,284,348,373,440,540]","[-441,232,400,405,447]",False,1,False,"{""type"":""BRANCH_FIRST"",""aligned_index"":523,""baseline_event_index"":525,""treatment_event_index"":526,""decision_count_offset"":0,""propagation_count_offset"":0,""conflict_count_offset"":0,""baseline"":{""index"":525,""type"":""decision"",""literal"":-441,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":234,""conflicts"":2,""level"":18,""activity"":0,""activity_rank"":337,""heap_rank"":356,""heap_member"":true,""top_candidate"":447,""value"":2},""treatment"":{""index"":526,""type"":""decision"",""literal"":-447,""clause"":[],""injection"":false,""decisions"":1,""decision_ordinal"":1,""dequeues"":234,""conflicts"":2,""level"":18,""activity"":0,""activity_rank"":337,""heap_rank"":356,""heap_member"":true,""top_candidate"":441,""value"":2}}",VERIFIED,d4919757d92b7ed6b49b5d35e1db526bc6710fc36c53cfc2c2936f2b089b97a3,results/branch_displacement_mechanism_v1/historical_runs/HIST_T8_S5_R4_suppress/BASELINE
